Month,Year,Letter,Subject,Yes Votes,No Votes,Pass or Fail,Percent,Type Measure,By,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
NOV,1982,M,Parnassus Heights Hotel-Carl & Hillway Streets,54583,140306,F,0.280,P,I,Zoning,Hotel,Zoning Chng,UC MedCenter,ParnassusHts
APR,1983,A,"Recall, Mayor Dianne Feinstein",30166,134591,F,0.183,R,I,Recall,Mayor,Feinstein,,
NOV,1983,A,Increase number of signatures for recall election,116316,38118,P,0.753,C,S,Recall,Election,Petition,,
NOV,1983,B,Voter approval before Recreation land sold,129570,21758,P,0.856,C,S,Recreation,Land Sale,Playgrounds,Open space,Athletic fac
NOV,1983,C,Library for Blind and Disabled - separate Dept.,62002,87080,F,0.416,C,S,Blind,Disabled,Library,Department,
NOV,1983,D,Disability transfers by Civil Serv. Commission,95146,51109,P,0.651,C,S,Civil Service,Transfers,Disability,,
NOV,1983,E,Public safety employees in State P.E.R.S.,92940,51546,P,0.643,C,S,State P.E.R.S.,RSRetirement,,,
NOV,1983,F,Transfers Housing Authority Police to SFPD,106987,37647,P,0.740,C,S,Housing Auth,Police Hsing,Housing P.D.,PERS,
NOV,1983,G,Changes formula for retirement increase,99372,41424,P,0.706,C,S,Retirement,Cost Living,,,
NOV,1983,H,"Board of Education, Community College Board $500 Pay/month",89222,56577,P,0.612,C,S,Board Education,Comm College,Salaries,,
NOV,1983,I,Changes method Police & Fire salaries are set,67669,77132,F,0.467,C,I,Police &Fire,Salaries,,,
NOV,1983,J,Time and 1/2 overtime for firefighters,91582,59370,P,0.607,C,I,Overtime,Firefighters,Compensation,Time and l/2,
NOV,1983,K,Street Artist Annual Fee $80,98617,49615,P,0.665,O,S,Street Artist,Annual Fee,"Fees, Art",Artists,
NOV,1983,L,"Painters Union, Local No. 4, Salary Demand",44196,94413,F,0.319,O,L,Union,Painters #4,Local #4,Salary,
NOV,1983,M,"Master Plan for development, Priority Policies",76659,78592,F,0.494,O,I,Master Plan,Planning,Priorities,Zoning,Developers
NOV,1983,N,Opposition to Military aid to El Salvador,79937,71292,P,0.529,P,I,El Salvador,Military aid,Federal Govt,,
NOV,1983,O,Opposition to bilingual voting,98333,59314,P,0.624,P,I,Bilingual,English only,Ballots,Handbooks,Voting
NOV,1983,P,Regulating smoking in the workplace,80798,79541,P,0.504,O,R,Smoking,Workplace,No smoking,Office smoke,Non-smokers
JUN,1984,A,Employee benefits tied to Bay Area,68437,88429,F,0.436,C,S,Benefits,Fringe Benf,,,
JUN,1984,B,Night Pay differential to Police officers,83266,75416,P,0.525,C,S,Police Dept.,Salaries,Night Pay,,
JUN,1984,C,"Longevity pay, firefighters with 10, 15, & 20 yrs.",60975,93590,F,0.394,C,S,Firefighters,Salaries,Longevity,Fire Department.,
JUN,1984,E,Hetch Hetchy bonds issued without going on ballot,96086,49368,P,0.661,C,S,Hetch Hetchy,Bonds,Revenue,Election,
JUN,1984,F,"Water Dept Bonds, issued without going on ballot",95760,49201,P,0.661,C,S,Water Dept.,Bonds,Revenue Bond,Election,
JUN,1984,G,"Appoint 2 retirement managers, exempt from Civil Service",54084,86092,F,0.386,C,S,Retirement,CivilService,Exempt CSMan,agers,
JUN,1984,H,"Recorder, independent agency, under CAO",83286,54857,P,0.603,C,S,Registrar,CAORecorder,,,
JUN,1984,I,Reduce number Supervisors from 11 to 7,48392,103494,F,0.319,C,I,Board of Sup,Elections,Number Sups,Supervisors,
JUN,1984,J,Collect from prisoners cost of incarceration,100345,51810,P,0.659,O,I,Jail costs,Prisoners,Incarcerate,,
JUN,1984,K,Park Shadow Ban,94143,59707,P,0.612,O,s,Park shadow,"Shadow, park",Sunshine,Building reg,Rec/Park
NOV,1984,A,"Port Revenue Bonds, $42,500,000",180801,62052,P,0.744,B,s,Port bonds,Revenue bond,"Bonds, Port",,
NOV,1984,B,"Water Revenue bonds $104,000,000",179087,55651,P,0.763,B,s,Water bonds,Revenue bond,Bonds Water,,
NOV,1984,C,Health Commission created,121303,116957,P,0.509,C,S,CAO,Commission,Health Commn,Health Dept,
NOV,1984,D,"Changes investment procedures, Retirement System",128846,100200,P,0.563,C,S,Retirement,Investments,,,
NOV,1984,E,Extends employee health benefits to surviving spouses,126444,109423,P,0.536,C,S,Health Svc,Surviving,Dealth,Spouses,
NOV,1984,F,Death benefit employees killed on job,173511,62796,P,0.734,C,S,Killed employee,Death benfit,,,
NOV,1984,G,Police Probation one year after training,205548,30850,P,0.869,C,S,Probation,Police Dept.,,,
NOV,1984,H,"Premium pay, 2-wheel motorcycle policemen",139410,100579,P,0.581,C,S,Police Dept.,Hazard Pay,Motorcycle,Premium pay,
NOV,1984,I,Military and Social Spending,108358,128153,F,0.458,O,I,Federal fund,CAOMilitary,Social Spen,,
NOV,1984,J,No City pension funds invested in South Africa,150948,91788,P,0.622,P,I,Divestment,South Africa,Pensionfunds,Investments,Apartheid
NOV,1985,A,"Disabled Persons, Employment",63436,36701,P,0.633,C,S,Disabled,Employment,CivilService,,
NOV,1985,B,Small Business Commission,41460,59375,F,0.411,C,S,Small Bus,"Business, Sm",Commission,,
NOV,1985,C,"Police Drug Enforcement Fund, remove $50,000 max",59567,41665,P,0.588,C,S,Drug Enforce,Police,Enforcement,Narcotic Fnd,
NOV,1985,D,Mental Health Agencies Consolidation,57510,40359,P,0.588,C,S,Mental Health,"Health, Ment",Consolidatn,State Health,
NOV,1985,E,Meal Allowance Repeal & Rescinding Reserve,71985,28925,P,0.713,O,M,Meal Allow,Comp Worth,Reserve,Comparable W,
NOV,1985,F,"Highrise Ban for three years, Buildings over 50,000 ft",41388,59455,F,0.410,O,I,Highrise Ban,Buildings,"50,000 sq ft",Development,Offices
NOV,1985,G,"Marijuana Initiative Funding, $150,000 to Legalize",21972,79191,F,0.217,P,I,Marijuana,Petition Drv,Drugs,,
JUN,1986,A,Risk Management & Claims Investigation,76025,46335,P,0.621,C,S,Risk Management,Claims,CAO,City Attn.,Insurance
JUN,1986,B,"Purchaser & Contracts, $50,000 limit",60202,59523,P,0.503,C,S,Purchaser,Contracts,CAO,,
JUN,1986,D,Civil Service System under Personnel Department,34749,93838,F,0.270,C,I,Civil Service,Personnel,Employee Rel,,
JUN,1986,E,Balboa Reservoir Development Ban,50048,72703,F,0.408,O,I,Balboa Res,Housing,Development,City College,
JUN,1986,F,Compensated Advocacy & Campaign Limit of $500,67353,52326,P,0.563,O,I,Compensated,Advocacy,Campaign Lmt,Contribution,Candidates
JUN,1986,G,South Africa Boycott,49343,67724,F,0.421,P,I,South Africa,Boycott,Apartheid,Africa,
JUN,1986,H,AIDS Research & Education Council,71254,44012,P,0.618,P,I,AIDS Acquired, Imm,Research,Education,Council
JUN,1986,I,Embarcadero Freeway Demolition,41782,88527,F,0.321,P,I,Embarcadero,Freeway,Demolition,Waterfront,
JUN,1986,J,Embarcadero Freeway Policy,53310,75706,F,0.413,P,2,Embarcadero,Freeway,Waterfront,Boulevard,Demolition
NOV,1986,A,"Bonds, Fire Protection Improvements $46,200,000",173883,21662,P,0.889,B,S,Water system,Fire Protect,High Pressur,Hetchy storg,"Bonds, Fire"
NOV,1986,B,"Moscone Conv. Center, expand, Redevelopment bonds $140 Mil",123384,76223,P,0.618,L,S,Moscone Center,Conventions,Redev Agency,Yerba Buena,
NOV,1986,C,"Refund revenue bonds, without vote",140095,49347,P,0.740,C,S,Refunding,Revenue bond,Bonds refund,,
NOV,1986,D,"After school recreation, use open space funds",150556,41959,P,0.782,C,S,After School,Recreation,Open Space,School,
NOV,1986,E,Retirement allowance increase,138022,55233,P,0.714,C,S,Retirement,Benefits,,,
NOV,1986,F,Reciprocal Retirement Benefits,122258,62369,P,0.662,C,S,Retirement,Reciprocal,Benefits,,
NOV,1986,G,Union representatives retirement benefits,92655,98005,F,0.486,C,S,Union reps,Retirement,Leaves,Benefits,
NOV,1986,H,"Comparable worth, pay minorities & women",115810,76785,P,0.601,C,S,Comparable W,Pay Equity,Minorities,Women,
NOV,1986,I,"Police & Fire Pay, changes after annual survey",121012,68114,P,0.640,C,S,Police &Fire,Salaries,,,
NOV,1986,J,No max ages for police & fire entry or retirement,131985,58687,P,0.692,C,S,"Age, no max",Retirement,Police age,Hiring age,Fire age
NOV,1986,K,"Art Curators, exempt from Civil Service",116109,67527,P,0.632,C,S,Art Curators,Curators,CivilService,,
NOV,1986,M,"Development limits, office space",102295,96903,P,0.514,O,I,Planning,Office Space,Development,Limit office,DowntownPlan
NOV,1986,N,"Oil development moratorium, two year",134792,53555,P,0.716,O,s,Oil Develop,Moratorium,CrudeOil&Gas,Develop Oil,
DEC,1987,X,"Housing lease Broadway Tunnel air rights, Pineview",89088,48467,P,0.648,O,R,Tunnel,Air rights,Pineview,Broadway,Housing
JUN,1987,A,Polytechnic High School Site Rezoning for Housing,48986,36651,P,0.572,O,R,Poly High,Rezoning,Housing,,
JUN,1987,B,Balboa South Reservoir Site Rezoning for Housing,38550,46899,F,0.451,O,R,Balboa Res.,Rezoning,Housing,City College,
JUN,1987,C,Executive Park Development,54676,29961,P,0.646,O,S,Executive Park,Development,,,
NOV,1987,A,"Police Facilities Bonds, $28,000,000",129144,44148,P,0.745,B,S,Police Buildings,Buildings,Bonds,Police Sta.,
NOV,1987,B,"Street Improvements Bonds, $ 27,000,000",131575,40529,P,0.765,B,S,Streets,Bonds,Asphalt Plnt,Sidewalks,Traffic
NOV,1987,C,"Mental Health Bldg, Gen. Hosp., Bonds $ 26,000,000",138281,35428,P,0.796,B,S,Mental Health,General Hosp,HospitalHeal,MntlBeds,185B
NOV,1987,D,"Recreation & Park Bonds, $ 18,000,000",117062,54748,P,0.681,B,S,Rec & Park,Park & Rec.,Kezar Stadum,,
NOV,1987,F,"Parking Revenue Bonds, Leases with Parking Auth",101376,69791,P,0.592,L,S,Parking Rev.,Revenue Bond,Leases,Parking Auth,Neighborhood
NOV,1987,G,Eliminate SFPD Citizen Complaint Office Annual Budget Limit,84705,80968,P,0.511,C,S,OCC,Police,Citizen Comp,"Budget, PD",Office C.C.C
NOV,1987,H,Deputy Sheriff Probation extend to 18 months,125930,36001,P,0.778,C,S,Deputy Sheriff,Sheriff,Probation,,
NOV,1987,I,"Deputy Sheriff Retirement Payments, 7 % limit",93376,63661,P,0.595,C,S,Deputy Sheriff,Sheriff,Retirement,PERS,
NOV,1987,J,Union Representatives Retirement Benefits,92193,71303,P,0.564,C,S,Union Reps,Retirement,Benefits,Labor,
NOV,1987,K,Per Diem Nurses Retirement Exemption,96563,68045,P,0.587,C,S,Nurses,Retirement,PerDiem Nurs,Exemption,
NOV,1987,L,"County Clerk, appt by Sup Ct., not Civil Service",91967,64065,P,0.589,C,S,County Clerk,Clerk,Superior Ct.,CivilService,
NOV,1987,N,Candidate Filing Deadline,111610,46481,P,0.706,C,S,Candidates,Deadline,Election,Filing Date,
NOV,1987,O,Retired Employees Vote Health Service Board,108757,52352,P,0.675,C,S,Retired Employees,Health Svc,Election,Employees,
NOV,1987,P,District Election of Supervisors,76914,98171,F,0.439,C,I,Districts,Elections,Supervisors,Board of Sup,
NOV,1987,Q,"Minimum Firefighter Staffing, Stations, Budget",75070,86627,F,0.464,C,I,Firefighters,Fire Budget,BudgetFire S,tation,Fire Department.
NOV,1987,R,Utility User Tax Repeal,103484,63295,P,0.620,O,I,Utility Tax,Repeal Tax,,,
NOV,1987,T,Public Land Sale to Require Voter Approval,87189,76384,P,0.533,P,I,Land Sales,Voter Approv,"Sales, Land",,
NOV,1987,U,Nuclear Free Zone,91350,75314,P,0.548,P,I,Nuclear,Radioactive,Military,Food,Weapons
NOV,1987,V,Consumer Boycott Firms -- South Africa Apartheid,98281,67729,P,0.592,P,I,South Africa,Apartheid,Boycott,,
NOV,1987,W,Baseball Stadium at Seventh and Townsend Streets,85005,96445,F,0.468,P,2,Baseball,Stadium,7th&Townsend,Townsend&7th,
JUN,1988,A,"School Improvement Bonds $90,000,000",130534,32099,P,0.803,B,S,Bonds,Improvement,Schools,Buildings,
JUN,1988,B,Pay Freeze/Reduced Work Week,125472,35389,P,0.780,C,S,Pay Freeze,Freeze,Work Week,,
JUN,1988,C,Muni Sick Leave Payments,55219,103534,F,0.348,C,S,Muni Railway,Unused SickL,Sick Leave,Drivers,Leave
JUN,1988,D,Early Retirement,119610,39844,P,0.750,C,S,Employees,Early Retire,Retirement,Incentive,
JUN,1988,G,Retirement Board Composition,80505,73209,P,0.524,C,S,Retirement Board,President,Board of Sup,Supervisors,
JUN,1988,H,Conduct Special Elections by Mail,69265,88563,F,0.439,C,S,Elections,Special Elct,Mail Elect,,
JUN,1988,I,Purchasing Procedures,109739,35839,P,0.754,C,S,Purchaser,Controller,Procedures,Paying,Purchasing
JUN,1988,J,Asian Art Museum Positions,78264,74070,P,0.514,C,S,Asian Art,Museum,Exam Exempt,CivilService,
JUN,1988,K,Gann Limit Override,67692,87480,F,0.436,O,S,Gann Limit,Limit,Override,Appropriatn,Taxes
JUN,1988,L,Balboa Reservoir Development,78049,79010,F,0.497,O,M,Balboa Reservoir,Housing,Reservoir,Rezone,Development
JUN,1988,M,Hosting 1996 Olympics,98952,61478,P,0.617,P,s,Olympics,Host Olympic,Olympic 1996,Gay Olympics,
NOV,1988,A,"Library Bonds $109,500,000",186336,58048,P,0.762,B,S,Main Library,Library,Safety Impr,Buildings,
NOV,1988,C,Controller's Term of Office,170270,56991,P,0.749,C,S,Controller,Term Office,Ten Yr Term,,
NOV,1988,D,Parking and Traffic Department,149397,82785,P,0.643,C,S,DPT,Seven Member,ManagePkgLot,Traffic,
NOV,1988,E,Park and Open Space Fund,176549,49582,P,0.781,C,S,Parks,After School,School Rec.,Open Space,
NOV,1988,F,Meet and Confer Authority,140575,81523,P,0.633,C,S,MOU,Mayor,ERD,Bargaining,Unions
NOV,1988,H,Retirement System Tax Law Changes,180400,37190,P,0.829,C,S,Retirement,Tax Laws,Benefit,Tax Benefit,
NOV,1988,I,Retirement System Community Property Law Changes,161072,61634,P,0.723,C,S,Retirement,Community Pr,Divorced Sp,Spouse,
NOV,1988,J,Police & Firefighters Pension Benefits,162131,66177,P,0.710,C,S,Police/Fire,Pensions,Vesting,Retirement,
NOV,1988,K,Environmental Protection Loans,140983,85129,P,0.624,C,S,Environment,Protection,Loans,Bonds,
NOV,1988,L,Health Service Board Membership/Elections,127369,86250,P,0.596,C,S,Health Svc,Board,Elections,Vacancy,Board of Sup
NOV,1988,M,Muni Railway Negotiated Procurement,130603,84847,P,0.606,C,S,Muni Railway,Negotiate,Vehicles,Purchaser,Mass Transit
NOV,1988,N,Charter Asian Art Commission,131302,86670,P,0.602,C,S,Asian Art,Acquire Land,Charter Comm,Art,
NOV,1988,O,Two Term Limit for Supervisors,101868,129327,F,0.441,C,I,Supervisors,Limit 2 Term,Two Term Lmt,Board of Sup,
NOV,1988,P,Regulation of Taxicabs,79804,131910,F,0.377,O,S,Taxicabs,Repeal PropK,Permits,Cabs,
NOV,1988,Q,Health Care Community Service,129257,86822,P,0.598,O,I,Health Care,Private Hlth,Hospitals,,
NOV,1988,R,Renegotiate USS Missouri MOU,108890,135037,F,0.446,O,M,USS Missouri,MOU Renogot,Homeporting,Missouri,Port
NOV,1988,S,Implement USS Missouri MOU,125494,119012,P,0.513,O,s,Homeporting,Port,Dredging,Missouri,Navy
NOV,1988,T,Off-Street Parking Fund Expenditures,92096,125796,F,0.423,O,s,Parking Fund,Park Meter,Off-Street,General Fund,Commuter Prk
NOV,1988,U,Vacancy Rent Control,100500,138201,F,0.421,O,I,Rent Control,Vacancy Cntr,Housing,,
NOV,1988,V,Police Horse Patrol,201074,31487,P,0.865,P,I,Police Horse,Retain Patrl,Horse Patrol,,
NOV,1988,W,Mutual Recognition: Palestine & Israel,71737,155787,F,0.315,P,I,Palestine,Israel,Recognition,,
NOV,1988,X,Operating Expenditures From Same Yr Revenues Only,139112,79589,P,0.636,P,M,Operating $,Budget,Surplus Fund,Balance Budg,
NOV,1988,Z,Hetch Hetchy Power Contracts,72523,155998,F,0.317,P,I,Water,Hetch Hetchy,Power,Contracts,
NOV,1989,A,"Public Bldg Safety Improvement Bonds $59,700,000",104460,21285,P,0.831,B,S,Buildings,Public Bldg,Safety Impr,Earthquake,Disabled
NOV,1989,B,"Sales Tax for Transportation, Create Authority",107017,55997,P,0.656,O,S,Tax,Transport,Transport Au,Authority,Sales Tax
NOV,1989,C,Equipment Lease Financing,76256,78653,F,0.492,C,S,Equipment,Lease,Financing,Non-profit,
NOV,1989,D,Board of Supervisors Salaries,55023,111096,F,0.331,C,S,Salaries,Board of Sup,,,
NOV,1989,E,Police and Fire Retirement Benefits,89933,71927,P,0.556,C,S,Police/Fire,Retirement,Benefits,,
NOV,1989,F,Retired City Employees Retirement Benefits,110929,49876,P,0.690,C,S,Retired Employee,Retirement,Benefits,,
NOV,1989,G,Prevailing Rates of Wages,68919,76314,F,0.475,C,S,Salaries,Flat Rates,Range Rates,Prevailing,
NOV,1989,H,Sick Leave Transfer for Catastrophic Illness,89936,75021,P,0.545,C,S,Employees,Illness,Sick Leave,Catastrophic,
NOV,1989,I,Vacation Credit Transfer for Catastrophic Illness,114373,49313,P,0.699,C,S,Employees,Vacation,Illness,Catastrophic,
NOV,1989,J,Controller Duties,64940,64244,P,0.503,C,S,Controller,Duties,Audits,,
NOV,1989,K,Expand Sheriff Duties,65968,87027,F,0.431,C,S,Sheriff,Duties,Security,Deputy Sherf,Salaries
NOV,1989,L,Juvenile Probation Department,114477,36589,P,0.758,C,S,Juvenile,Court,Probation,Department,CivilService
NOV,1989,M,PUC Deputy General Managers,53585,93517,F,0.364,C,S,PUC,Deputy G Mgr,Public Util,CivilService,
NOV,1989,N,Retirement Board Membership,67535,81786,F,0.452,C,S,Retirement,RetirementBd,Membership,,
NOV,1989,O,Campaign Contributions,34014,115588,F,0.227,O,S,Campaign,Contribution,Candidates,Elections,
NOV,1989,P,Downtown Baseball Ballpark,85796,87850,F,0.494,O,M,Downtown Ball,China Basin,Rezone,Spectacor,Baseball
NOV,1989,Q,Residential Rent Tax,54887,108859,F,0.335,O,s,Tax,Residential,Rent Tax,Homeless,Housing
NOV,1989,R,Condominium Conversion,48461,110417,F,0.305,O,I,Condominiums,Conversion,Residential,,
NOV,1989,S,Domestic Partners,83541,85227,F,0.495,O,R,Domestic P,Partnerships,Unmarried,,
NOV,1989,U,AIDS Research and Services,133103,29711,P,0.818,P,s,AIDS Research,Research,,,
NOV,1989,V,Candlestick Park Improvements,83599,78875,P,0.515,P,I,Candlestick,Improvements,Baseball,,
NOV,1989,W,Vote By Mail,64237,96406,F,0.400,P,I,Voting,Mail Voting,Ballots,Elections,
JUN,1990,A,"Public Safety Improvement Bonds $332,400,000",105865,29447,P,0.782,B,S,FEMA,Safety,Earthquake,Buildings,Hazards
JUN,1990,B,School Facilities Safety Special Tax,89439,43339,P,0.674,T,S,Property Tax,Repair Schls,Tax,Schools,Earthquake
JUN,1990,C,Equipment Lease Financing,85097,41469,P,0.672,C,S,Lease,Equipment,Financing,,
JUN,1990,D,Neighborhood Beautification Fund,71076,61812,P,0.535,O,S,Neighborhood,Beautify,Graffiti,Business Tax,Tax
JUN,1990,F,Minimum Firefighter Staffing,64872,70295,F,0.480,C,I,Fire Department,Staffing,Minimum FD,,
JUN,1990,G,Former Supervisor Health Benefits,86245,45332,P,0.655,C,S,Supervisors,Health Benft,Former Supr,Health Sve,Insurance
JUN,1990,H,Fire Inspector & Engineer Retirement Benefits,92534,31329,P,0.747,C,S,Fire Inspector,Fire Engr,Benefits,PERS,Retirement
JUN,1990,I,Retired Teachers Consulting Contracts,95371,31305,P,0.753,C,S,Teachers,Retired,Consultants,Schools,
JUN,1990,J,Human Rights Commission,78308,41821,P,0.652,C,S,Human Rights,Commission,Members,,
JUN,1990,K,Seven Member Commissions,48646,79000,F,0.381,C,S,Commissions,Increase Mbr,Seven Member,,
JUN,1990,L,Commissioner Residency Requirement,69949,52875,P,0.570,C,S,Commissions,SF Residents,Residency,Boards,
JUN,1990,M,Commission Gender Composition,46849,72953,F,0.391,C,S,Commissions,Gender,Women,Men,Sex
JUN,1990,N,Two-Term Limit for Supervisors,78998,54799,P,0.590,C,I,Supervisors,Limit 2 Term,Terms,Two Terms,
JUN,1990,O,Hypodermic Syringes,68139,59663,P,0.533,P,I,Hypodermic,Syringes,Needles,Drugs,AIDS
NOV,1990,A,"Correctional Facilities Jail Bonds $16,500,000",135528,60086,P,0.693,B,S,Jails,Bryant St.,San Bruno,Corrections,
NOV,1990,B,"Youth Guidance Center Bonds $73,800,000",115830,82003,F,0.585,B,S,Youth Guidance,Detention,YouthGuidCtr,JuvenileHall,
NOV,1990,C,Port Revenue Bond Procedures,71593,110108,F,0.394,C,S,"Bonds, Port",Port Bonds,Revenue Bond,Port Comm.,Board of Sup
NOV,1990,D,Police and Fire Bargaining and Arbitration,104655,85812,P,0.549,C,S,Police & Fir,Bargaining,Arbitration,Collective B,Binding Arb.
NOV,1990,E,Nuclear Free Zone,64429,128977,F,0.333,C,I,Nuclear,Radioactive,Weapons,Commission,Investments
NOV,1990,F,Airport Police Retirement Benefits,89233,100646,F,0.470,C,S,Airport,PERS,Retirement,Age 50,Police Airpt
NOV,1990,G,Adult Probation Confidential Secretary,85835,97585,F,0.468,C,S,Adult Probation,Secretary,CivilService,Probation,
NOV,1990,H,Waterfront Land Use Plan,97183,95415,P,0.505,O,I,Waterfront,Land Use,Hotels,Maritime Use,Port
NOV,1990,I,Mission Bay Office Space Limit Exemption,99698,100291,F,0.499,O,S,Mission Bay,Development,Office Space,DowntownPlan,Planning
NOV,1990,J,"Housing Affordability Fund $15,000,000 a year",87023,101990,F,0.460,O,S,Board of Sup,Low/Moderate,Housing,Affordable H,Housing Fund
NOV,1990,K,Domestic Partners,112563,95864,P,0.540,O,S,Domestic,Partners,Unmarried,Relationship,
DEC,1991,A,School Sales Tax,97461,79087,P,0.552,O,S,Sales Tax,School Tax,Tax,,
NOV,1991,A,"Early Retirement, Add 3 Years Service and Age",139053,38794,P,0.782,C,S,Early Retire,Retirement,Employees,3 and 3,
NOV,1991,B,Collective Bargaining for Miscellaneous Employees,96126,78950,P,0.549,C,2,Bargaining,Collective,Salaries,Pay,Employees
NOV,1991,C,Civil Service Rules Removed from Charter,98473,67254,P,0.594,C,S,Civil Serv.,Rules,Hiring,,
NOV,1991,D,Civil Service Eligibles,115412,51952,P,0.690,C,S,Civil Serv.,Eligibles,Hiring Proc.,Rules of 3,
NOV,1991,E,Discharge of Civil Service Employees,107689,60158,P,0.642,C,B,Discharge,Civil Serv.,Terminate,Employees,
NOV,1991,F,City Supplement Military Pay for Civil Serv. Employee,114683,57211,P,0.667,C,B,Military,Reservists,Active Duty,Pay,
NOV,1991,G,Allow Housing Authority Police to Change to SFPD,104391,67909,P,0.606,C,S,Housing Auth,Police,,,
NOV,1991,H,"Deputy Mayor Ban, Limit Mayor's Staff Salaries",114583,56217,P,0.671,C,I,Deputy Mayor,Mayor's Off.,Salaries,Employee,
NOV,1991,I,Appointment of Minors to Boards,72491,100272,F,0.420,C,S,Appointments,Minors,Boards,Commissions,
NOV,1991,J,Children's Fund from Property Tax Annually 10 Yrs,95913,80246,P,0.544,C,I,Children's,Fund,Property Tax,Tax,Property Tax
NOV,1991,K,Domestic Partners Repeal,75320,108926,F,0.409,O,I,Domestic,Partnership,Repeal,,
NOV,1991,L,Rezone Phelan Avenue Loop Use,74955,89834,F,0.455,O,R,Phelan Ave.,Use,Zoning,City College,Phelan Loop
NOV,1991,M,"Limit Landlord Charge, 10%-14% Above Previous Rent",81656,103586,F,0.441,O,I,Vacancy,Control,Rent Control,Landlord,
NOV,1991,N,Residential Rental Buildings Condo Conversion,57874,115642,F,0.334,O,S,Condominiums,Conversions,Residential,,
NOV,1991,O,"Affirm 1st Amendment, Right to Freedom of Speech",122563,46521,P,0.725,P,I,First Amendment,Censorship,Freedom,Constitution,
NOV,1991,P,Restore Hemp Medications to Available Medicines,136492,35732,P,0.793,P,I,Hemp,Medicines,Marijuana,Treatment,
NOV,1991,Q,Reduce Federal Military Budget by 10% Annually,107724,66321,P,0.619,O,S,Federal Bdgt,Reduce,Budget U.S.,Military,Priorities
JUN,1992,B,Civic Center Plaza Improvement Bonds,70809,88664,F,0.444,B,S,Plaza,Civic Center,,,
JUN,1992,C,Civic Center Garage Bonds,56753,98865,F,0.365,B,S,Parking,Civic Center,Garage,,
JUN,1992,D,Civic Center Heating System Improvement Bonds,63514,91551,F,0.410,B,S,Steam Heat,Civic Center,Heating Syst,,
JUN,1992,E,General Fund Percentage 12 Yrs for Capital Project,59870,91230,F,0.396,C,S,Infrastruct.,Fund,Capital Proj,,
JUN,1992,F,County Clerk duties and personnel transfer to CAO,85791,52177,P,0.622,C,S,County Clerk,Duties,CAO,,
JUN,1992,G,Chief Zoo Vet Appointed at Pleasure of Rec & Park,84079,63162,P,0.571,C,S,Chief Vet,Zoo,Veterinarian,Rec/Park,
JUN,1992,H,Purchaser transfer inventory control to City Departments,71241,70389,P,0.503,C,S,Inventory,Purchaser,Control,,
JUN,1992,I,Dividing California into Two States,58707,95812,F,0.380,P,S,Two States,Divide Calif,California,Northern CA,
JUN,1992,J,San Francisco in Northern California,97448,57052,P,0.631,P,S,San Francisc,No. Calif.,Northern CA,,
NOV,1992,A,"Earthquake Unreinforced Masonry Bonds $350,000,000",197128,84735,P,0.699,B,S,Earthquake,Safety,Loan UMB,UMB Loans,Unreinfoced
NOV,1992,B,"San Bruno Jail Bonds $158,100,000",156851,116872,F,0.573,B,S,San Bruno,Jail,,,
NOV,1992,C,"Fire Department Bonds $40,800,000",188680,87229,P,0.684,B,S,Fire Department.,Seismic,,,
NOV,1992,D,"Health Department Lease Financing $20,000,000 +",132154,132998,F,0.498,C,S,Health Dept.,Lease,Financing,Hospitals,
NOV,1992,E,Collective Bargaining Start Date,193202,70499,P,0.733,C,S,Collective B,Bargaining,Salaries,Benefits,Negotiating
NOV,1992,F,Retirement Allowance Increase $75 a month,148712,123083,P,0.547,C,S,Retirement,Allowance,Benefits,Employees,
NOV,1992,G,Retirement Plan Transfer Misc to Police or Fire,199928,68233,P,0.746,C,S,Retirement,TransferCrdt,Police,Firefighters,Miscelleous
NOV,1992,H,Allowable Rent Increases Eliminate 4% minimum,143761,128193,P,0.529,O,I,Rent Control,Rent Raise,CPI,Landlords,
NOV,1992,J,Aggressive Panhandling Prohibited,152982,123852,P,0.553,O,M,Panhandling,Begging,Harrassment,Hounding,Solicit
NOV,1992,K,Health Maintenance Organization District,137537,125881,P,0.522,O,I,H.M.O.,Zoning,Medical Bldg,Divisadero,Geary Blvd
NOV,1992,L,Farmers' Market Zoning Restrictions,105678,165559,F,0.390,O,I,Zoning,Farmer's Mkt,Housing,Bernal Hts.,Alemany
JUN,1993,A,School Sales Tax,59574,21108,P,0.738,T,SE,,,,,
NOV,1993,A,Cultural Facilities Improvement Bonds,88721,56277,F,0.612,B,S,Cultural,Improvement,Bonds,,
NOV,1993,AA,Public Officials Ride Public Transit,91387,49210,P,0.650,P,I,Officials,Public,Transit,Ride,
NOV,1993,B,Street and Traffic Safety Improvement Bonds,84375,59545,F,0.586,B,S,St. & Traffic,Safety,Improvement,Bonds,
NOV,1993,BB,Police Puppet,70374,67857,P,0.509,P,I,Puppet,Police,,,
NOV,1993,C,Sales Tax,70898,73222,F,0.492,O,B,Sales,Tax,,,
NOV,1993,D,Police and Fire Early Retirement,63193,78315,F,0.447,C,S,Police,Fire,Early Retire,Retirement,
NOV,1993,E,Spousal Pension Benefits,65323,77058,F,0.459,C,S,Spousal,Pension,Benefits,,
NOV,1993,F,Police and Fire Benefit Modifications,50858,86734,F,0.370,C,S,Police,Fire,Retirement,Modification,
